"patent_number","jurisdiction","assignee","priority_date","grant_date","expiry_estimate","status","claim_gist","relevance_to_us","infringement_risk","design_around_note","url","evidence_id"
"US9752124B2","US","Koninklijke Nederlandse Akademie van Wetenschappen","2009-02-03","2017-09-05","2030-11-30","등록","성체 아데노마 줄기세포를 in vitro 확장하여 얻은, 밀폐된 중심 내강을 상피세포가 둘러싸고 비상피세포가 없는 3차원 오가노이드를 포함하는 **조성물**(물건)","인접","중","**오가노이드 물건 청구항.** 매트릭스 판매는 비침해. 단 LG화학이 오가노이드 자체(바이오뱅크·PDO 서비스)로 확장하면 직접 저촉. 2030-11-30 만료","https://patents.google.com/patent/US9752124B2/en","E-510"
"EP2393917B1","EP","Koninklijke Nederlandse Akademie van Wetenschappen","2009-02-03","등록 (B1 공고)","2030-02-03 (추정)","등록","US8642339 와 동일 패밀리의 유럽 등록특허 — BMP 억제제 + 마이토젠 + Wnt 아고니스트 배지 및 그 배지에서 형성된 crypt-villus/위/췌장 오가노이드","인접","중","EU 시장 진입 시 고객 실시행위 관점에서 동일 분석. 2030-02-03 만료","https://patents.google.com/patent/EP2393917B1/en","E-511"
"CN102439135B","CN","Koninklijke Nederlandse Akademie van Wetenschappen","2009-02-03","등록 (B 공고)","2030-02-03 (추정)","등록","동일 패밀리 중국 등록특허","인접","중","중국 진입 시에도 동일 만료일. 2030 이후 중국 오가노이드 시장은 배지 특허 자유","https://patents.google.com/patent/CN102439135B/en","E-512"
"JP2012516685A","JP","Koninklijke Nederlandse Akademie van Wetenschappen","2009-02-03","등록","2030-02-03 (추정)","등록","동일 패밀리 일본 등록특허","인접","중","일본 동일","https://patents.google.com/patent/JP2012516685A/en","E-513"
"WO2010090513A2","WO","Koninklijke Nederlandse Akademie van Wetenschappen","2009-02-03","해당없음(PCT)","2013-11-13 (PCT 국면 종료)","만료","Clevers 오가노이드 배지 원 PCT 출원","배경","하","PCT 자체는 권리가 아님. 국내단계 특허로만 판단","https://patents.google.com/patent/WO2010090513A2/en","E-514"
"US10597633B2","US","Koninklijke Nederlandse Akademie van Wetenschappen (Huch·Clevers)","2014-05-16","2020-03-24","2035-06-27","등록","상피줄기세포를 ECM 과 접촉시킨 채 RTK 리간드 + Lgr5 아고니스트인 Wnt 아고니스트 + TGF-β 억제제 + cAMP 경로 활성화제를 포함하는 1차 확장배지에서 배양하는 방법","인접","중","배지 4성분 조합 한정. 매트릭스 무관 — 우리는 배지를 팔지 않으면 무관","https://patents.google.com/patent/US10597633B2/en","E-515"
"US11130943B2","US","Koninklijke Nederlandse Akademie van Wetenschappen","2014-11-27","2021-09-28","2035-11-27 (추정)","등록","ErbB3/4 리간드 + FGFR2b 리간드 + BMP 억제제 배지로 폐 상피줄기세포를 6계대 이상 확장하여 폐 오가노이드를 얻는 방법","배경","하","배지 한정. 장기특이 확장","https://patents.google.com/patent/US11130943B2/en","E-516"
"US8722039B2","US","LifeBond Ltd.","2006-12-15","2014-05-13","2027-12-17 (추정: PCT출원일+20년)","등록","제1 젤라틴층 / 트랜스글루타미나제층 / 제2 젤라틴층으로 구성되고 조립 전 건조된 지혈·봉합 패치","인접","하","건조 3층 패치 형태 한정. 액상 2액형 세포배양 매트릭스와 물리적 형태가 상이","https://patents.google.com/patent/US8722039B2/en","E-517"
"US9636433B2","US","LifeBond Ltd.","2006-12-15","2017-05-02","2027-12-17 (추정)","등록","젤라틴 + 트랜스글루타미나제 조성물로서 TG 조성물의 젤라틴 가교 비활성이 40~200 U/g-gelatin 이고 젤라틴:TG 중량비가 1:1~300:1 이며, 상처 부위 적용 시 젤라틴 사슬 간 및 조직 내인성 콜라겐과 가교하여 누출 장벽을 형성하는 지혈·체액봉합제","직접충돌","중","**우리 2액형의 조성비가 이 수치범위에 들어갈 개연성이 높음.** 회피 3요소: ① 용도(지혈제 아님·세포배양) ② 젤라틴:mTG 중량비를 1:1~300:1 밖(예: 400:1 이상 희석계)으로 설정 ③ 2027-12 만료 대기","https://patents.google.com/patent/US9636433B2/en","E-518"
"US8961544B2","US","LifeBond Ltd.","2010-08-05","2015-02-24","2031-11-15","등록","이식용 수술 메쉬 + 가교성 젤라틴 다공성 폼(밀도 5~100 mg/cm3) + 단백질 가교효소(트롬빈 제외)를 포함하는 패치","인접","하","메쉬·폼 밀도 한정. 3D 배양 겔과 무관","https://patents.google.com/patent/US8961544B2/en","E-519"
"US8877493B2","US","Osaka University + Kyoto University (Sekiguchi)","2009-10-08","2014-11-04","2030-10-07 (추정)","등록","인간 라미닌 β5β2γ1 또는 α3β3γ2 E8 프래그먼트로 코팅된 배양기재를 사용해 단일세포로 해리한 hPSC 를 피더프리 배양하는 방법","배경","하","라미닌 E8 한정(iMatrix-511 계열). 우리 조성에 라미닌 E8 을 넣지 않으면 무관","https://patents.google.com/patent/US8877493B2/en","E-520"
"US8952095B2","US","CELLENDES GmbH","2010-02-23","2015-02-10","2031-07-06","등록","분자 말단부에 결합기가 국재화되고 절단성 펩타이드 성분과 폴리머 성분이 결합된 3 kDa 이상 선형 가교제로서, 라디칼 반응 없이 2성분/다성분 하이드로겔을 형성하는 가교제","인접","하","합성 펩타이드-PEG 가교제 화학 한정. mTG 효소가교와 반응기구가 상이","https://patents.google.com/patent/US8952095B2/en","E-521"
"US9850461B2","US","QGEL SA (Rizzi·Lutolf)","2010-04-22","2017-12-26","2031-06-18","등록","다분지 PEG-비닐설폰(A액)과 시스테인 2개 이상 함유 펩타이드(B액)를 마이클부가가 억제된 조건에서 혼합·충전·동결건조하여 안정한 케이크 형태 분말 하이드로겔 전구체를 제조하는 방법","인접","하","**2액형 동결건조 분말 키트 형태**를 커버. 우리가 mTG 2액형을 '동결건조 분말 케이크'로 상품화할 경우 형태는 유사하나 화학(마이클부가 vs 효소가교)과 성분(PEG-VS vs 콜라겐)이 상이 → 문언 비침해. 2031-06 만료","https://patents.google.com/patent/US9850461B2/en","E-522"
"US10227566B2","US","University of South Carolina","2013-10-30","2019-03-12","2035-06-09","등록","불활성 PEGDA 단독중합체와 가교제를 반응시켜 리간드가 없는 3D 하이드로겔을 만든 뒤 펩타이드를 접합하는, 암줄기세포 지지 매트릭스 형성법","배경","하","PEGDA 한정","https://patents.google.com/patent/US10227566B2/en","E-523"
"US20160178611A1","US","Bo Han · Josephine Fang (개인 — 101Bio Col-Tgel 발명자)","2014-04-07","미등록","해당없음 (권리 미발생)","포기","트랜스글루타미나제의 촉매작용으로 글루타민 측쇄 아실기와 라이신 측쇄 ε-아미노기 사이에 공유결합이 형성되어 가교된 젤라틴을 포함하는, 종양 모델링용 실질적 불용성 3차원 매트릭스 조성물 (청구항 2: 가교 젤라틴 3~9%)","직접충돌","하","**Col-Tgel 의 유일한 특허출원이며 Abandoned 확정.** → 침해 리스크 0. 그러나 2016-06-23 공개로 **전 세계 신규성 저해 선행기술**이 되어 '젤라틴/콜라겐 + mTG 가교 3D 매트릭스' 자체는 우리도 특허받을 수 없음","https://patents.google.com/patent/US20160178611A1/en","E-524"
"US10934529B2","US","Ecole Polytechnique Fédérale de Lausanne (Lutolf·Gjorevski)","2015-09-03","2021-03-02","2036-09-05 (추정: PCT출원일+20년)","등록","가교된 합성 친수성 폴리머와 생리활성분자(**라미닌-111 또는 그 기능성 단편**)를 포함하고 오가노이드 형성 조건 직전 초기 전단탄성률이 **0.05~1.5 kPa** 인 생체기능성 3D 합성 하이드로겔에서, EGF/Noggin/R-spondin 함유 배지로 상피줄기세포를 배양해 상피 오가노이드를 얻는 방법","직접충돌","중","3중 한정으로 회피 가능: ① '합성(synthetic) 친수성 폴리머' → 우리는 재조합/정제 **천연 콜라겐** 백본 ② **라미닌-111 필수** → 무첨가 조성 ③ 초기 G' 0.05~1.5 kPa → **1.5 kPa 초과 규격(예: 2~20 kPa)**. 세 요건 중 하나만 벗어나도 문언 비침해","https://patents.google.com/patent/US10934529B2/en","E-525"
"WO2017037295A1","WO","Ecole Polytechnique Fédérale de Lausanne","2015-09-03","해당없음(PCT)","종료 (Ceased)","만료","위 US10934529 의 원 PCT 출원","배경","하","PCT 자체는 권리 아님","https://patents.google.com/patent/WO2017037295A1/en","E-526"
"KR20180038573A","KR","Ecole Polytechnique Fédérale de Lausanne","2015-09-03","등록 (Granted)","2036-09-05 (추정)","등록","오가노이드 배양을 위한 3차원 하이드로겔 — US10934529 의 한국 패밀리","직접충돌","중","**한국 출시 시 직접 검토 대상.** 회피 논리는 US10934529 와 동일(합성폴리머·라미닌-111·G' 상한)","https://patents.google.com/patent/KR20180038573A/en","E-527"
"US12584112B2","US","Ecole Polytechnique Fédérale de Lausanne","2016-11-18","2026-03-24","2038-08-16","등록","하이드로겔 블록 내부의 관형 공동(직사각/원형 단면 10 µm~5 mm)에 상피줄기세포를 시딩해 자기재생→분화시켜 형상·패턴이 재현 가능한 오가노이드를 얻는 방법 (겔 탄성률 최소 450 Pa)","배경","하","미세가공된 관형 공동 구조 한정. 벌크 포매형 매트릭스 판매와 무관","https://patents.google.com/patent/US12584112B2/en","E-528"
"US10603406B2","US","TheWell Bioscience (VitroGel)","2017-04-10","2020-03-31","2038-04-10 (추정)","등록","고아실 젤란검 + 저아실 젤란검 + 화학수식/펩타이드수식 젤란검을 포함하고 연질→경질 전환 시 균일→응집 네트워크로 변하는 다당 하이드로겔 조성물","배경","하","젤란검(다당) 한정. 단백질 매트릭스와 무관","https://patents.google.com/patent/US10603406B2/en","E-529"
"US20200239824A1","US","TheWell Bioscience","2017-04-10","미등록","해당없음","출원중","연질 다당 하이드로겔을 세포현탁액과 혼합→콜로니 회수→재혼합하는 오가노이드 배양 방법","배경","하","다당 한정","https://patents.google.com/patent/US20200239824A1/en","E-530"
"US20200179280A1","US","denovoMATRIX GmbH","2012-09-13","등록 (Granted)","2032-09-13 (추정)","등록","펩타이드-PEG 공유접합체와 고도 음전하 황산화 올리고당(헤파린·덱스트란설페이트·시클로덱스트린설페이트)의 혼합물로 이루어진 하이드로겔 매트릭스","배경","하","**헤파린류 황산화 올리고당이 필수 구성.** 우리 조성에 없음. 참고: 주력제품 screenMATRIX 단종 [E-124]","https://patents.google.com/patent/US20200179280A1/en","E-531"
"US20190111184A1","US","Biogelx Ltd","2015-09-16","미등록","해당없음","포기","방향족 스태킹 리간드가 결합된 두 종 펩타이드 유도체를 1:19~19:1 로 혼합한 하이드로겔 조성물","배경","하","포기 확인. 영국 소규모 진영의 IP 방어력 취약을 시사","https://patents.google.com/patent/US20190111184A1/en","E-532"
"US11850324B2","US","Advanced BioMatrix, Inc. (BICO 그룹)","2016-10-12","2023-12-26","2040-10-27","등록","**20 mg/mL 초과** 비변성 콜라겐을 포함하고 **변성 콜라겐이 10% 미만**이며 정적강성 100~150,000 Pa, 전단속도 0.001 s⁻¹ 초과에서 전단강성 50 Pa 미만인 바이오잉크","직접충돌","중","**우리 가설의 single+triple helix 혼합은 단일사슬(변성 상당) 분율이 10% 이상**이므로 'less than 10% denatured' 한정 밖 → 문언 비침해. 추가 안전판: 콜라겐 농도를 20 mg/mL 이하로 설정. **혼합비 자체가 회피설계로 기능**","https://patents.google.com/patent/US11850324B2/en","E-533"
"US11530304B2","US","Modern Meadow, Inc.","2016-02-15","2022-12-20","2037-02-15 (추정)","등록","재조합 비인간 콜라겐 피브릴 네트워크 + 수분 5~25% + 윤활제 0.1~60% 로 이루어지고 섬유 직경 1~10 µm 인 콜라겐계 소재","배경","하","저수분 가죽대체 소재 한정. 수화 하이드로겔(수분 >90%)과 정반대 영역","https://patents.google.com/patent/US11530304B2/en","E-534"
"US11369714B2","US","JELLAGEN Pty Ltd","2016-09-07","2022-06-28","2039-03-24","등록","정제 해파리 콜라겐 용액과 중화 버퍼를 혼합해 피브릴을 형성시키고 혼합 중 또는 후에 가교제를 첨가하는 해파리 콜라겐 하이드로겔 제조법","인접","중","**'해파리(jellyfish) 콜라겐' 종(種) 한정이 유일한 방벽.** 우리는 재조합 인간형/포유류형 콜라겐 → 문언 비침해. 단 '중화 후 가교제 첨가'라는 공정 순서는 우리와 동일하므로 균등론 방어논리 사전 준비 필요","https://patents.google.com/patent/US11369714B2/en","E-535"
"US11214609B2","US","Geltor, Inc.","2017-09-28","2022-01-04","2038-09-28 (추정: 우선일+20년)","등록","미생물 숙주에서 생산된 재조합 폴리펩타이드로서 인간 21형 α1 콜라겐 전장서열에서 530 aa 이상 절단되고 SEQ ID NO:76 을 포함하며 **단량체이고 천연 콜라겐의 안정한 삼중나선 구조를 형성하지 않는** 것","인접","하","SEQ ID 특정 + '삼중나선 미형성' 명시적 한정. **우리 조성의 triple helix 분획은 정의상 청구항 밖**이고, single chain 분획도 서열이 다르면 비침해","https://patents.google.com/patent/US11214609B2/en","E-536"
"US12378303B2","US","Jiangsu Trautec Medical Technology Co., Ltd.","2021-12-03","2025-08-05","2042-11-23 (추정)","등록","SEQ ID NO:2(α1(I)M1) 또는 SEQ ID NO:5(α1(II)M6) 로 특정되는, 인간 I형/II형 콜라겐 α1 사슬 아미노산 변이체","배경","하","특정 서열 한정. 중국계 재조합 콜라겐 진영의 서열특허 축적 신호 — 우리 서열의 자유도 확인 필요","https://patents.google.com/patent/US12378303B2/en","E-537"
"CN115521372A","CN","Collagen (Wuhan) Biotechnology Co., Ltd.","2022-05-31","등록 (Granted)","2042-05-31 (추정)","등록","아미노산 서열이 SEQ ID NO:1 인 삼중나선 재조합 인간화 III형 콜라겐 및 프로테아제 처리에 의한 제조법","배경","하","중국 내 삼중나선 재조합 콜라겐 서열특허. **중국 진출 시 서열 FTO 별도 확인 필요** — 서열이 다르면 회피","https://patents.google.com/patent/CN115521372A/en","E-538"
"US6413742B1","US","Cohesion Technologies / Genotypes Inc.","1998-05-08","2002-07-02","2019-06-14 (만료)","만료","C-프로펩타이드가 결실된 피브릴형 콜라겐 단량체(α1(I) 또는 α2(I)) DNA 를 재조합 숙주세포에서 발현시켜 피브릴형 콜라겐을 생산하는 방법","배경","하","만료. **'재조합 젤라틴 + 전장 삼중나선 콜라겐' 원천특허 소멸** → single+triple 혼합 설계의 상위 개념이 이미 퍼블릭 도메인","https://patents.google.com/patent/US6413742B1/en","E-539"
"US20110207671A1","US","FibroGen, Inc.","2008-08-22","미등록","해당없음","포기","콜라겐을 서로 다른 두 가교제로 순차 반응시켜 이중가교 콜라겐 소재를 얻는 방법 (가교제는 알데하이드·카보디이미드·에폭사이드; 트랜스글루타미나제 미언급)","인접","하","포기. **'이중가교(효소+물리)' 전략의 상위개념이 선행기술로 공개돼 있음** — 우리도 이 개념만으로는 특허 불가","https://patents.google.com/patent/US20110207671A1/en","E-540"
"US11773171B2","US","Surrozen Operating, Inc.","2017-12-19","2023-10-03","2039-07-04","등록","특정 CDR 서열의 Fzd 결합영역과 LRP5/6 결합영역을 갖는 가용성 다가·다특이 Wnt 대체분자","배경","하","배지 첨가물 특허. 매트릭스와 무관하나 **'매트릭스+배지 번들' 상품화 시 라이선스 필요**","https://patents.google.com/patent/US11773171B2/en","E-541"
"US12480084B2","US","Corning Incorporated","2019-10-03","2025-11-25","2043-03-27","등록","칼슘 무첨가/킬레이트 배지에서 스페로이드 안정화 하이드로겔을 만드는 키트로서 폴리갈락투론산 또는 알긴산 겔화제 + 2가 이온염 가교제 + 프로톤 도너(가교제:도너 몰비 약 2:1)로 구성","배경","하","다당·이온가교 한정. **Corning 의 최신 매트릭스 특허조차 단백질 매트릭스를 커버하지 않음**","https://patents.google.com/patent/US12480084B2/en","E-542"
"US11154506B2","US","Pensees Inc. (대한민국)","2019-12-24","2021-10-26","2040-05-01 (추정)","등록","하이드로겔 액적을 노즐로 토출해 계면활성제+증점제 액욕 표면에 침지·분리하여 균일 크기 스페로이드를 제조하는 방법 (경화제로 transglutaminase 선택 가능)","인접","하","액적 침지 장치·공정 한정. 경화제 목록에 TG 가 열거되어 있을 뿐 조성 청구가 아님","https://patents.google.com/patent/US11154506B2/en","E-543"
"US20260092254A1","US","inSoma Bio, Inc.","2022-09-21","미등록","해당없음","출원중","부분 정렬(partially ordered) 폴리펩타이드를 포함하는 상전이 매트릭스와 그 안에 봉입된 세포를 포함하는, 2D/3D/오가노이드 배양용 조성물","인접","중","**현재 최대 감시대상.** 청구항 1 이 '폴리펩타이드 상전이 매트릭스 + 세포'로 매우 광범위 — 등록되면 단백질계 오가노이드 매트릭스 전반을 위협. 등록 전 제3자 정보제공(Third-Party Submission)·이의신청 준비","https://patents.google.com/patent/US20260092254A1/en","E-544"
"US20250129340A1","US","Universiteit Maastricht + Academisch Ziekenhuis Maastricht","2021-11-01","미등록","해당없음","출원중","알데하이드화 폴리머를 가교하여 **강성 0.01~4 kPa** 및 **응력완화 t1/2 ≤ 104초**를 갖는 오가노이드 배양용 하이드로겔을 제조하는 방법","인접","중","**물성 수치(강성·응력완화) 자체를 청구**하는 유형. 우리가 G'·응력완화 규격을 특허화하려 할 때 저촉·중복 위험. 우리 규격을 4 kPa 초과 또는 응력완화 특성으로 차별화","https://patents.google.com/patent/US20250129340A1/en","E-545"
"US20220389375A1","US","UCL Business Ltd","2019-11-06","미등록","해당없음","출원중","탈세포화 조직에서 ECM 분말을 제조하고 1~8 mg/mL 로 단백질분해 소화하여 ECM pre-gel 을 만드는 방법","배경","하","탈세포화 조직 유래 한정","https://patents.google.com/patent/US20220389375A1/en","E-546"
"US20230034857A1","US","LG Chem, Ltd. — **자사 보유**","2020-09-15","미등록","해당없음","출원중","표면장력 45~54 mN/m, 점도 2.0 cp 이상인 연속상 조성물과 중합성 단량체 분산상을 현탁중합하는 세포배양용 마이크로캐리어 입자 제조법","배경","해당없음","**LG화학이 세포배양 소재 분야에서 보유한 유일한 특허군(마이크로캐리어, US/EP/JP/CN/WO).** 매트릭스·하이드로겔·mTG 관련 특허는 0건 → 신규 포지션 구축이 필수","https://patents.google.com/patent/US20230034857A1/en","E-547"
"US20230392123A1","US","Katholieke Universiteit Leuven + Tampere University Foundation","2020-10-16","미등록","해당없음","출원중","직경 500~2500 µm 이고 세포가 봉입된 자기조립 펩타이드 하이드로겔 스페로이드","배경","하","자기조립 펩타이드 한정","https://patents.google.com/patent/US20230392123A1/en","E-548"
"US11008549B2","US","HemoShear, LLC","2013-10-21","2021-05-18","2033-10-21 (추정: 우선일+20년)","등록","배지 유동으로 종양세포에 간접 전단응력을 인가하여 종양미세환경을 in vitro 모사하는 방법","배경","하","유동장치 한정","https://patents.google.com/patent/US11008549B2/en","E-549"
"US7541187B2","US","Becton Dickinson and Co. (구 Matrigel 권리자)","2001-06-06","2009-06-02","2022-12-22 (만료)","만료","산성 ECM(콜라겐 피브릴 함유) 용액을 pH 6~8 로 중화→다공성 기재에 도포→15~40℃ 중합→동결→동결건조하여 즉시사용형 균일 ECM 기재를 제조하는 방법","배경","하","만료. BD/Corning 계열 BME 방어특허 소멸 확인","https://patents.google.com/patent/US7541187B2/en","E-550"
"US7608455B2","US","Becton Dickinson and Co.","2003-08-20","2009-10-27","만료 (Expired-Fee Related)","만료","EHS 마우스 육종 유래 성장인자 저감 ECM + 외인성 피브로넥틴 + 외인성 헤파린으로 이루어진 표면코팅 조성물","배경","하","만료","https://patents.google.com/patent/US7608455B2/en","E-551"
