product_id,manufacturer,product_name,catalog_number,category,definition_level,origin,grade,size_mL,list_price_usd,price_source_url,usd_per_mL,crosslinking,organoid_efficiency_note,pubmed_citation_count,gmp_line_available,key_customers_partnerships,evidence_id
P29,Biogelx Limited,Biogelx-S 펩타이드 하이드로겔 (5 mL 겔 환산),Biogelx-S,synthetic-defined,fully-defined,synthetic,RUO,5.0,추정:275.00,https://www.sigmaaldrich.com/US/en/technical-documents/technical-article/materials-science-and-engineering/tissue-engineering/biogelx-peptide-bioinks,추정:55.00,자가조립 펩타이드(동결건조 분말 재수화 시 자기조립),비동물유래 합성 펩타이드. 미국·유럽·아시아 판매. 정가 비공개 → 회귀 추정(C-A4b),0,no,Sigma-Aldrich 기술 파트너 게재,E-154
P30,QGel SA,QGel CN99 fully defined organoid matrix (5 mL),CN99,synthetic-defined,fully-defined,synthetic,RUO,5.0,추정:335.70,https://www.genengnews.com/insights/qgels-synthetic-extracellular-matrix-for-organoids-challenges-xenogels/,추정:67.14,"PEG 기반 공유 가교(합성 ECM 미믹, 펩타이드 리간드 접합)",인체 대장 생검에서 직접 오가노이드 확립·확장 가능한 fully defined 매트릭스(Nature/PubMed 32891909 게재). 견적제 → 회귀 추정(C-A4c),0,no,EPFL 스핀오프. 제약사 대상 오가노이드 서비스 번들,E-136
P31,101Bio (101 Biosystem),"3D Cell Culture Gel, Col-Tgel (soft/medium/stiff), 10 mL",P720S-10,recombinant-protein,semi-defined,recombinant,RUO,10.0,389.00,https://www.101bio.com/P720_3D_cell_culture_gel.php,38.90,**microbial transglutaminase(mTG) 효소 가교** — Component A(콜라겐/젤라틴 겔) + Component B(트랜스글루타미나제 가교제) 2액형,콜라겐 백본 + 효소가교로 0.9-1.5 / 14-20 / 35-47 kPa 3단 강성. 종양·줄기·초대배양 세포용. **LG화학 제품가설(콜라겐+mTG 가교)과 동일 아키텍처가 이미 상용화**,11,no,Fisher/AMSBIO/Gentaur 유통. 2 mL $109 / 10 mL $389,E-120
P32,"Humabiologics, Inc.","HumaDerm Human Skin Collagen Type I, 6 mg/mL, 10 mL",HumaDerm-10,recombinant-protein,semi-defined,human,RUO,10.0,522.10,https://www.fishersci.com/shop/products/human-collagen-type-i-6-mg-ml/NC2107418,52.21,none(중화·37C 섬유화 self-assembly),인체 기증조직 유래 Type I 콜라겐. 이종성분 배제 소구. 소 콜라겐 대비 9.7배 가격,0,no,VWR/Fisher/Ourobionics 유통. 조직은행 기증 조직 소싱,E-134
P33,Corning Life Sciences,"Corning Collagen I, Rat Tail, 100 mg (8-11 mg/mL)",354249,purified-animal-protein,semi-defined,recombinant,RUO,10.53,205.23,https://ecatalog.corning.com/life-sciences/b2c/US/en/Surfaces/Extracellular-Matrices-ECMs/Collagen/p/354249,19.49,none(중화·37C 섬유화 self-assembly),랫 꼬리 Type I 콜라겐. 오가노이드 단독 지지력은 BME 대비 낮아 통상 BME 보조로 사용. 부피 환산 C-A2a,15004,no,3D 콜라겐 겔 표준품,E-110
P34,Advanced BioMatrix (BICO),"PureCol Type I Bovine Collagen Solution, 3 mg/mL, 100 mL",5005,purified-animal-protein,semi-defined,recombinant,RUO,100.0,540.00,https://www.fishersci.com/shop/products/purecol-collagen-1-bov-3mg-ml/50360230,5.40,none(중화·37C 섬유화 self-assembly),아텔로콜라겐(텔로펩타이드 제거). 전 제품군 최저가 $5.40/mL — 매트릭스 원가 하한선 지표,0,no,Fisher/CELLINK 유통,E-114
P35,Advanced BioMatrix (BICO),"TeloCol-6 Type I Telocollagen Solution, 6 mg/ml, 50 mL",5225,purified-animal-protein,semi-defined,recombinant,RUO,50.0,582.00,https://www.fishersci.com/shop/products/telocol-6-telocollagen/501960298,11.64,"none(중화 용액 동봉, 37C 섬유화)",텔로콜라겐 6 mg/mL 고농도. 중화용액 동봉 키트,0,no,동상,E-155
P36,Advanced BioMatrix (BICO),"Nutragen Type I Bovine Collagen Solution, 6 mg/mL, 50 mL",5010,purified-animal-protein,semi-defined,recombinant,RUO,50.0,582.00,https://www.fishersci.com/shop/products/nutragen-collagen-1-bov-6mg-ml/50360232,11.64,none(중화·37C 섬유화 self-assembly),멸균여과 6 mg/mL 소 콜라겐,0,no,동상,E-156
P37,Jellagen Limited,"JellaGel Collagen Type 0 Hydrogel Kit, 10 mL",JGEL10ML,purified-animal-protein,semi-defined,marine,RUO,10.0,추정:389.00,https://www.jellagen.co.uk/products/cell-culture-reagents/jellagel/what-is-it/,추정:38.90,화학 가교제 동봉 2~3액형 키트(용액+버퍼+crosslinker),"해파리 유래 Collagen Type 0. 비포유류·질병벡터 배제, ISO13485:2016 생산. 4.0-4.5 mg/mL. 견적제 → 회귀 추정(C-A4d)",0,no,Biozol/Clinisciences/Thomas Sci 유통,E-157
P38,Thermo Fisher Scientific (Gibco),"rhLaminin-521, 1 mg (0.1 mg/mL)",A29249,recombinant-protein,fully-defined,recombinant,RUO,10.0,1149.65,https://www.thermofisher.com/order/catalog/product/A29249,114.97,none(표면 흡착 코팅),[2D 코팅시약] 재조합 인간 laminin-521. hPSC feeder-free 단세포 생존 지원. 부피 환산 C-A2b,12,yes,"GMP 라인 CTS 제품군 보유. 정가 $1,198.00 → 온라인가 $1,149.65",E-116
P39,Corning Life Sciences,"Corning rLaminin-521 (Human), 100 µg Vial",354221,recombinant-protein,fully-defined,recombinant,RUO,1.0,81.01,https://ecatalog.corning.com/life-sciences/b2c/US/en/Surfaces/Advanced-Cell-Culture-Surfaces/Corning%C2%AE-rLaminin-521-(Human)/p/354221,81.01,none(표면 흡착 코팅),"[2D 코팅시약] α5β2γ1 헤테로트라이머, 포유류 발현. 권장 코팅 10 µg/mL. 부피 환산 C-A2b",12,no,Corning 직판 $81.01 vs Fisher $142.30 (+75.7% 마진),E-144
P40,BioLamina AB,"Biolaminin 521 LN (LN521-02), 0.1 mg (0.1 mg/mL)",LN521-02,recombinant-protein,fully-defined,recombinant,RUO,1.0,추정:118.00,https://biolamina.com/products/laminin-ln-521-stem-cell-matrix/,추정:118.00,none(표면 흡착 코팅),[2D 코팅시약] 전장 인간 재조합 laminin-521 원천 개발사. 견적제 → 회귀 추정(C-A4e),12,yes,Biolaminin 521 CTG(CT521) = 세계 최초 cell therapy grade 라미닌 라인 보유,E-158
P41,Nippi / Matrixome (日本),"iMatrix-511 Recombinant Laminin-511 E8 Fragments, 350 µg (175 µg x 2, 0.5 mg/mL)",NP892-011,recombinant-protein,fully-defined,recombinant,RUO,0.7,588.00,https://www.fishersci.com/shop/products/imatrix-511-e8-350ug/502041395,840.00,none(표면 흡착 코팅),[2D 코팅시약] laminin-511 E8 단편. iPSC 배양 표준. well 당 $1-2 로 Matrigel($3-4/well) 대비 저렴 소구,12,yes,"임상등급 iMatrix-511MG, 저가형 실크 발현 iMatrix-511Silk 라인 보유. Takara/Reprocell/AMSBIO 유통",E-117
P42,STEMCELL Technologies,"Vitronectin XF Matrix, 2 mL",07180 / 100-0763,recombinant-protein,fully-defined,recombinant,RUO,2.0,93.00,https://www.stemcell.com/vitronectin-xf.html,46.50,none(표면 흡착 코팅),[2D 코팅시약] defined·xeno-free. hPSC 유지/분화. 혈관 오가노이드에서 Matrigel 대체 보고,0,no,mTeSR 배지 번들 판매,E-119
